disasterNumber,totalNumberIaApproved,totalAmountIhpApproved,totalAmountHaApproved,totalAmountOnaApproved,totalObligatedAmountPa,totalObligatedAmountCatAb,totalObligatedAmountCatC2g,paLoadDate,iaLoadDate,totalObligatedAmountHmgp,hash,lastRefresh,id
4071,1191,2784278.58,2497021.85,287256.73,11718720.76,10555032.44,1123798.87,2024-11-09T00:00:00.000Z,2024-11-09T00:00:00.000Z,1736368,e753bb92b6eeaee1f1eae64d32cc33ba0cfb320e,2024-11-09T08:49:42.136Z,dadcf2a5-b871-474d-8408-4b7c9f0b533c
4078,387,7115053.78,6471155.03,643898.75,,,,,2024-11-09T00:00:00.000Z,601235.07,e32c7008583f04692517a7930b94df44f36e28cc,2024-11-09T08:49:42.136Z,4f463347-c13b-41b2-ac27-df3f477cf404
4080,45297,141493695.57,118543111.68,22950583.89,297068831.2,207482785.45,79543870.75,2024-11-09T00:00:00.000Z,2024-11-09T00:00:00.000Z,55357043.29,76a9160f05b5a49e4c04aef08c009b0463b4f9e1,2024-11-09T08:49:42.136Z,0cf877d8-d494-42f8-a09f-f81b57460e59
4081,6663,18066465.05,15342803.23,2723661.82,37399646.71,18269641.15,18039199.03,2024-11-09T00:00:00.000Z,2024-11-09T00:00:00.000Z,6780294,d5500133a1821b75734d6ef15c096b5464c91237,2024-11-09T08:49:42.136Z,50dc95c1-3e70-460b-951b-43cb7ebe70fc
4085,117643,1012576801.02,866598517.46,145978283.56,14738223334.37,2696553700.75,11865218428.06,2024-11-09T00:00:00.000Z,2024-11-09T00:00:00.000Z,1397377521.78,9758528030754ff5dba273f50440843f27b4b3e3,2024-11-09T08:49:42.136Z,85efe0bf-db73-4ef0-a73c-66ca6043cb23
4086,61336,421687505.7,364811334.83,56876170.87,2243002711.26,732114347.45,1446149277.24,2024-11-09T00:00:00.000Z,2024-11-09T00:00:00.000Z,292658490.79,0ed848d7b7c41ac381deaa9cd89bb7461237726f,2024-11-09T08:49:42.136Z,5cbc4158-29ac-4e9d-b150-c58d7d6df278
4087,2970,15411911.44,14281595.2,1130316.24,60211137.07,38614228.77,19456570.3,2024-11-09T00:00:00.000Z,2024-11-09T00:00:00.000Z,9402903.16,8d115d3d79640fb01643456f0b10cdd9b59e521c,2024-11-09T08:49:42.136Z,179f0267-967c-42eb-8efb-9021c492e74d
4089,105,421340.81,378748.8,42592.01,8734303.07,4789849.95,3621726.12,2024-11-09T00:00:00.000Z,2024-11-09T00:00:00.000Z,1213946.54,770db72f3511ee91fce85f823965df0c9ce31a80,2024-11-09T08:49:42.136Z,6756b566-1467-4d27-a51e-7a85f58a5ebc
4091,732,2592961.32,2168049.22,424912.1,30749448.69,21862022.2,8497041.39,2024-11-09T00:00:00.000Z,2024-11-09T00:00:00.000Z,4312949.96,1c1017649a001f6de02aff0a3f4375e90ff64edc,2024-11-09T08:49:42.136Z,96933424-ecd3-461b-bcd2-d91bcc8b624a
4101,771,3399662.3,2464696.46,934965.84,4461112.39,2817723.86,1493370.53,2024-11-09T00:00:00.000Z,2024-11-09T00:00:00.000Z,812102,bd6ec0c8438dcede54a9d91bcab1733fc84bc38a,2024-11-09T08:49:42.136Z,8bbcea6e-e63f-4b1a-bbfd-77e14f30523a
4116,62398,169205736.75,147019451.18,22186285.57,32577023.15,8789924.66,22557865.49,2024-11-09T00:00:00.000Z,2024-11-09T00:00:00.000Z,25071728.27,e44a2c70740576d48a7a17bb63c3e7d91848e756,2024-11-09T08:49:42.136Z,2df280fc-c0ac-482d-8fe7-e89f1861a6ae
4117,3663,15130900.23,10414680.88,4716219.35,55032768.45,29463353.3,23904275.15,2024-11-09T00:00:00.000Z,2024-11-09T00:00:00.000Z,9193060.93,226699a9e6508b7374c08328b4e44c3c609577b3,2024-11-09T08:49:42.136Z,9faaef15-98b2-4d3d-a9ff-c7724e729d44
4122,294,3490150.63,1613360.14,1876790.49,33351764.74,10572239.92,21414074.33,2024-11-09T00:00:00.000Z,2024-11-09T00:00:00.000Z,4080910,f8aa6a86dff44f2004c93afaff16dbf2a74b025e,2024-11-09T08:49:42.136Z,4c170981-bb0a-400e-bd78-dcebac15592c
4145,16551,61848927.77,56909350.93,4939576.84,369397738.45,50605593.08,306752666.11,2024-11-09T00:00:00.000Z,2024-11-09T00:00:00.000Z,57121301.29,4b2ad0c557cfef3e5bf7e8dc5df660748e13c735,2024-11-09T08:49:42.136Z,53d0d353-8d67-4115-bb63-4db5df412c24
4157,381,2858538.97,1616075.25,1242463.72,,,,,2024-11-09T00:00:00.000Z,247424.87,330df85eaf31635343a7840d453d669310f31ea2,2024-11-09T08:49:42.136Z,ffcb1cdb-20e7-44c5-8262-e62e98199125
4168,595,2091456.75,375239.09,1716217.66,28624712.03,25863745.73,1979841.04,2024-11-09T00:00:00.000Z,2024-11-09T00:00:00.000Z,4277895.96,86c21041bb2ec7a8b119e97abd70afdec5cb2afd,2024-11-09T08:49:42.136Z,54cc6e9d-951e-401e-88e5-abe87bd5b03f
4174,341,3041132.24,2335071.08,706061.16,9410016.22,3196953.81,6068810.64,2024-11-09T00:00:00.000Z,2024-11-09T00:00:00.000Z,1797562.06,01d63607fc9355a056f7b999510981ac167f3bd9,2024-11-09T08:49:42.136Z,298cb1e0-b637-4584-9a90-ffba6e8d9249
4175,945,5847689.28,4365948,1481741.28,87324475.11,18487913.25,67426205.62,2024-11-09T00:00:00.000Z,2024-11-09T00:00:00.000Z,2638843,2966da56f5acd425ca24cb7baeb13519dba6624d,2024-11-09T08:49:42.136Z,58da1dc9-d8bb-48f8-acd4-ddf3cc2816a5
