declarationRequestNumber,region,stateAbbreviation,state,tribalRequest,declarationRequestDate,declarationRequestType,incidentName,requestedIncidentTypes,requestedIncidentBeginDate,requestedIncidentEndDate,currentRequestStatus,requestStatusDate,ihProgramRequested,iaProgramRequested,paProgramRequested,hmProgramRequested,incidentId,incidentBeginDate,id
14090,8,ND,North Dakota                  ,0,2014-10-08T00:00:00.000Z,Major Disaster,Severe Storms and Flooding,Flood,2014-08-15T00:00:00.000Z,2014-08-25T00:00:00.000Z,Turndown,2014-11-26T00:00:00.000Z,0,0,1,0,2014090904,2014-08-15T00:00:00.000Z,80b84566-52d9-4251-94b4-a93e0861b2c5
14094,8,UT,Utah                          ,0,2014-10-22T00:00:00.000Z,Major Disaster,Severe Storms and Flooding,Flood,2014-09-27T00:00:00.000Z,2014-09-27T00:00:00.000Z,Turndown,2014-11-03T00:00:00.000Z,1,0,0,1,2014102701,2014-09-27T00:00:00.000Z,295176e4-fdbf-4ce3-b735-5ba1d5ec15c1
15008,6,OK,Oklahoma                      ,0,2015-04-01T00:00:00.000Z,Major Disaster,OK - Tornadoes - Severe Storms - Straight-line Win,Tornado,2015-03-25T00:00:00.000Z,2015-03-26T00:00:00.000Z,Turndown,2015-04-03T00:00:00.000Z,1,0,0,1,2015040101,2015-03-25T00:00:00.000Z,08a34308-0923-4b75-979d-127b172b2d44
15020,3,MD,Maryland                      ,0,2015-05-22T00:00:00.000Z,Major Disaster,R3_Baltimore_City_Unrest,Civil Unrest,2015-04-25T00:00:00.000Z,2015-05-01T00:00:00.000Z,Turndown,2015-07-29T00:00:00.000Z,0,0,1,0,2015052801,2015-04-27T00:00:00.000Z,17abbead-2f44-44b8-b3ce-355fa2a7fdae
15023,8,SD,South Dakota                  ,0,2015-05-27T00:00:00.000Z,Major Disaster,SD Severe Storm and Tornado,Tornado,2015-05-10T00:00:00.000Z,2015-05-10T00:00:00.000Z,Turndown,2015-06-03T00:00:00.000Z,1,0,0,1,2015051301,2015-05-10T00:00:00.000Z,7899517c-48bf-4c63-906d-a03a590bbf6d
15028,7,IA,Iowa                          ,0,2015-06-17T00:00:00.000Z,Major Disaster,Iowa Highly Pathogenic Avian Influenza (HPAI) 2015,Other,2015-04-13T00:00:00.000Z,,Turndown,2015-07-07T00:00:00.000Z,0,0,0,1,2015061804,2015-04-13T00:00:00.000Z,ef1d35cd-fe4b-423c-a4a6-2f74bd662134
15060,10,AK,Alaska                        ,0,2015-07-24T00:00:00.000Z,Major Disaster,Wildfires,Fire,2015-06-14T00:00:00.000Z,,Turndown,2015-08-19T00:00:00.000Z,1,0,1,1,2015081702,2015-06-14T00:00:00.000Z,d31a3f7f-21c5-4f10-8a19-36dfffa0a033
15069,4,FL,Florida                       ,0,2015-08-26T00:00:00.000Z,Major Disaster,Severe Storms and Flooding,Flood,2015-08-01T00:00:00.000Z,2015-08-09T00:00:00.000Z,Turndown,2015-09-23T00:00:00.000Z,1,0,0,1,2015081001,2015-08-01T00:00:00.000Z,c397ccbf-34dd-4d60-84d4-cfc4c5d7ab09
15071,5,IN,Indiana                       ,0,2015-08-31T00:00:00.000Z,Major Disaster,Indiana_Flooding_06182015,Flood,2015-06-07T00:00:00.000Z,2015-07-29T00:00:00.000Z,Turndown,2015-10-20T00:00:00.000Z,0,0,1,1,2015061802,2015-06-18T00:00:00.000Z,b652bad0-282c-4e01-a4d7-fe7f32dd3d9f
15084,9,AZ,Arizona                       ,1,2015-10-02T00:00:00.000Z,Emergency,Chemical Spill,Chemical,2015-08-05T00:00:00.000Z,,Turndown,2015-10-20T00:00:00.000Z,0,0,1,0,2015102001,2015-09-03T00:00:00.000Z,fddb7be5-92c4-44bc-9cdd-a995e93328ed
15086,4,NC,North Carolina                ,0,2015-10-29T00:00:00.000Z,Major Disaster,Severe Storms and Flooding,Severe Storm,2015-10-01T00:00:00.000Z,2015-10-23T00:00:00.000Z,Turndown,2015-12-08T00:00:00.000Z,0,0,1,1,2015093001,2015-09-25T00:00:00.000Z,efe85d83-05fd-4234-af0b-aefb6181240a
15087,2,NJ,New Jersey                    ,0,2015-10-29T00:00:00.000Z,Major Disaster,NJ Severe Coastal Storm,Coastal Storm,2015-10-01T00:00:00.000Z,2015-10-04T00:00:00.000Z,Turndown,2015-11-10T00:00:00.000Z,0,0,1,1,2015101601,2015-10-01T00:00:00.000Z,772ef1a8-ddd7-418c-81ed-57624554f311
15088,10,WA,Washington                    ,1,2015-11-03T00:00:00.000Z,Major Disaster,WA-Colville Indian Reservation-08/13/2015,Fire,2015-08-13T00:00:00.000Z,2015-09-10T00:00:00.000Z,Turndown,2015-11-23T00:00:00.000Z,1,0,0,0,2015110501,2015-08-13T00:00:00.000Z,88098643-bb0d-4ac7-b539-33169e238fd5
16006,5,MI,Michigan                      ,0,2016-01-14T00:00:00.000Z,Major Disaster,Contaminated Water,Toxic Substances,2014-04-25T00:00:00.000Z,,Turndown,2016-01-22T00:00:00.000Z,1,0,1,1,2016010601,2014-04-25T00:00:00.000Z,500bb15d-129c-4368-bc49-c98b234f3c08
16019,6,NM,New Mexico                    ,0,2016-02-16T00:00:00.000Z,Major Disaster,Severe Winter Storm and Snowstorm,Severe Storm,2015-12-26T00:00:00.000Z,2015-12-27T00:00:00.000Z,Turndown,2016-05-10T00:00:00.000Z,0,0,1,1,2016021701,2015-12-26T00:00:00.000Z,98e64d9f-638b-4ccd-b322-549f5ef93726
16025,5,IL,Illinois                      ,0,2016-02-26T00:00:00.000Z,Major Disaster,IL_Flooding_01012016,Flood,2015-12-23T00:00:00.000Z,2016-01-13T00:00:00.000Z,Turndown,2016-04-22T00:00:00.000Z,1,0,1,1,2016010101,2016-01-01T00:00:00.000Z,a972b66b-f0aa-4561-9249-63a400cfe810
16026,4,FL,Florida                       ,0,2016-02-29T00:00:00.000Z,Emergency,"Severe Storms, Tornadoes, and Straight-line Winds",Severe Storm,2016-02-15T00:00:00.000Z,2016-02-24T00:00:00.000Z,Turndown,2016-03-15T00:00:00.000Z,1,0,1,0,2016021901,2016-02-15T00:00:00.000Z,78f1ea76-b7b1-439a-b8f0-dc05bac0f140
16027,6,LA,Louisiana                     ,0,2016-03-02T00:00:00.000Z,Major Disaster,LA - Flooding December 28 2015 - February 1 2016,Flood,2015-12-28T00:00:00.000Z,2016-02-01T00:00:00.000Z,Turndown,2016-06-15T00:00:00.000Z,0,0,1,1,2016030301,2015-12-28T00:00:00.000Z,5b5ab721-e9e7-41ca-9e53-336b56367819
16029,4,FL,Florida                       ,0,2016-03-16T00:00:00.000Z,Major Disaster,"Severe Storms, Tornadoes, and Straight-line Winds",Severe Storm,2016-02-15T00:00:00.000Z,2016-02-24T00:00:00.000Z,Turndown,2016-03-25T00:00:00.000Z,1,0,0,1,2016021901,2016-02-15T00:00:00.000Z,c7007468-56a9-44b6-a690-113172de54e0
16032,6,LA,Louisiana                     ,0,2016-03-18T00:00:00.000Z,Major Disaster,LA - Severe Storms and Tornadoes - February 2016,Severe Storm,2016-02-23T00:00:00.000Z,2016-02-23T00:00:00.000Z,Turndown,2016-04-29T00:00:00.000Z,1,0,1,1,2016031901,2016-02-23T00:00:00.000Z,56d6af2f-5807-4db4-882c-5944f42f1fc4
16035,3,VA,Virginia                      ,0,2016-03-25T00:00:00.000Z,Major Disaster,Severe Storm and Tornadoes,Tornado,2016-02-24T00:00:00.000Z,2016-02-24T00:00:00.000Z,Turndown,2016-05-19T00:00:00.000Z,1,0,0,1,2016030101,2016-02-24T00:00:00.000Z,efc1e5ac-b55b-4d7a-86f1-fde6253d6d33
16041,4,MS,Mississippi                   ,0,2016-05-13T00:00:00.000Z,Major Disaster,Severe Storms and Flooding,Flood,2016-04-28T00:00:00.000Z,2016-05-02T00:00:00.000Z,Turndown,2016-05-27T00:00:00.000Z,1,0,0,1,2016050601,2016-04-28T00:00:00.000Z,62f4e5c6-b459-4199-b455-d85e98f30eb8
16043,9,CA,California                    ,1,2016-04-26T00:00:00.000Z,Major Disaster,Severe Winter Storm & Flooding,Severe Storm,2016-04-11T00:00:00.000Z,2016-05-10T00:00:00.000Z,Turndown,2016-05-25T00:00:00.000Z,0,0,1,0,2016052701,2016-04-11T00:00:00.000Z,ad435ea1-838a-427e-9d42-775ebf7ba4db
16048,4,FL,Florida                       ,0,2016-06-13T00:00:00.000Z,Emergency,Orlando Terrorist Attack,Terrorist,2016-06-12T00:00:00.000Z,,Turndown,2016-06-20T00:00:00.000Z,0,0,1,0,2016061201,2016-06-12T00:00:00.000Z,16aebcf8-57ec-4ed3-96ee-623fc16ef983
16055,6,OK,Oklahoma                      ,0,2016-06-29T00:00:00.000Z,Major Disaster,Severe Storms and Flooding,Flood,2016-06-11T00:00:00.000Z,,Turndown,2016-07-07T00:00:00.000Z,1,0,0,1,2016063001,2016-06-11T00:00:00.000Z,056b21ed-9cb2-4cda-9543-50290e58ea8f
16056,4,FL,Florida                       ,0,2016-07-06T00:00:00.000Z,Emergency,Toxic Algae Blooms,Biological,2016-06-29T00:00:00.000Z,,Turndown,2016-08-25T00:00:00.000Z,0,0,1,0,2016070802,2016-07-07T00:00:00.000Z,13b639a3-f611-4d29-a37c-11252ed4a629
16061,9,CA,California                    ,0,2016-07-14T00:00:00.000Z,Major Disaster,Erskine Fire,Fire,2016-06-23T00:00:00.000Z,2016-07-06T00:00:00.000Z,Turndown,2016-07-22T00:00:00.000Z,1,0,0,1,2016062401,2016-06-23T00:00:00.000Z,40a5d526-e267-49c6-aee2-47d299f3e661
16063,7,KS,Kansas                        ,0,2016-07-21T00:00:00.000Z,Major Disaster,"Severe Storms, Tornadoes, Straight-line Winds, and",Severe Storm,2016-05-22T00:00:00.000Z,2016-05-31T00:00:00.000Z,Turndown,2016-09-29T00:00:00.000Z,0,0,1,1,2016061401,2016-05-22T00:00:00.000Z,609232c9-2e21-41c2-84fa-954532bcd001
16074,8,MT,Montana                       ,1,2016-08-02T00:00:00.000Z,Major Disaster,Severe Storms and Straight Straight Line Winds,Severe Storm,2016-06-24T00:00:00.000Z,2016-06-24T00:00:00.000Z,Turndown,2016-08-12T00:00:00.000Z,1,0,0,1,2016080403,2016-06-24T00:00:00.000Z,a75cf98b-2591-43a5-830d-b0dd28a870ef
16088,5,WI,Wisconsin                     ,1,2016-09-02T00:00:00.000Z,Major Disaster,Bad River Severe Storms and Flooding,Severe Storm,2016-07-11T00:00:00.000Z,2016-07-14T00:00:00.000Z,Turndown,2016-10-27T00:00:00.000Z,1,0,0,0,2016081603,2016-07-11T00:00:00.000Z,1e721cec-82c4-484b-a8e4-cfdc6d3c669d
16092,6,NM,New Mexico                    ,1,2016-09-21T00:00:00.000Z,Major Disaster,Flooding,Flood,2016-08-03T00:00:00.000Z,2016-08-05T00:00:00.000Z,Turndown,2016-11-28T00:00:00.000Z,1,0,0,1,2016092801,2016-08-03T00:00:00.000Z,81921394-05f7-4835-898a-ae55ad0e5d0a
16108,10,WA,Washington                    ,1,2016-10-18T00:00:00.000Z,Major Disaster,Cayuse Mountain Fire,Fire,2016-08-21T00:00:00.000Z,2016-09-07T00:00:00.000Z,Turndown,2016-10-31T00:00:00.000Z,1,0,0,0,2016083001,2016-08-21T00:00:00.000Z,11c2ceba-dafc-4583-8031-f52cde33c2e8
16112,3,DE,Delaware                      ,0,2016-10-27T00:00:00.000Z,Major Disaster,DE Severe Storms - 09/29/2016,Severe Storm,2016-09-29T00:00:00.000Z,2016-09-30T00:00:00.000Z,Turndown,2016-11-18T00:00:00.000Z,0,0,1,1,2016102401,2016-09-29T00:00:00.000Z,2e242a90-b8f4-4473-a219-930caab8ea31
16124,7,KS,Kansas                        ,0,2016-11-24T00:00:00.000Z,Emergency,Chemical Plant Explosion - Neodesha KS,Other,2016-11-22T00:00:00.000Z,,Turndown,2017-01-06T00:00:00.000Z,0,0,1,0,2016112301,2016-11-23T00:00:00.000Z,1c9fcadc-5083-4459-b78f-142c1ff78c85
17001,10,AK,Alaska                        ,1,2016-12-23T00:00:00.000Z,Major Disaster,Newtok Village-Yukip Tribe- Storm Damage,Severe Storm,2006-01-01T00:00:00.000Z,,Turndown,2017-01-18T00:00:00.000Z,1,0,1,1,2017010401,2006-01-01T00:00:00.000Z,e64b8d55-77ae-4941-8467-8c207b695be9
17004,10,AK,Alaska                        ,1,2017-01-15T00:00:00.000Z,Major Disaster,Kivalina-StormFloodErosion-01-15-2017,Severe Storm,2017-01-13T00:00:00.000Z,,Turndown,2017-02-01T00:00:00.000Z,0,0,1,1,2017011701,2017-01-13T00:00:00.000Z,6c8de017-8e33-443d-939c-be7f2608efbd
17008,8,SD,South Dakota                  ,1,2017-01-25T00:00:00.000Z,Major Disaster,Severe Winter Storm,Severe Ice Storm,2016-12-25T00:00:00.000Z,2016-12-26T00:00:00.000Z,Turndown,2017-02-21T00:00:00.000Z,0,0,1,1,2017011801,2016-12-25T00:00:00.000Z,c1f6a8f4-dea3-40ef-ac9c-11b13f84f52f
17018,10,ID,Idaho                         ,0,2017-02-28T00:00:00.000Z,Major Disaster,FEMA_R10_SevereWinterStorm_2017-2-3_1430_PST_Idaho,Severe Ice Storm,2016-12-22T00:00:00.000Z,2017-01-19T00:00:00.000Z,Turndown,2017-03-21T00:00:00.000Z,1,0,1,1,2017020301,2017-02-03T00:00:00.000Z,89412df2-84b1-4e2f-b8f1-c3f1bbc64f9c
17040,3,PA,Pennsylvania                  ,0,2017-05-02T00:00:00.000Z,Major Disaster,Severe Winter Storm - 03/13/2017,Snowstorm,2017-03-13T00:00:00.000Z,2017-03-16T00:00:00.000Z,Turndown,2017-06-13T00:00:00.000Z,0,0,1,1,2017031303,2017-03-13T00:00:00.000Z,cfbd85b0-76cb-44e7-8d9e-088d3bc0cea5
17045,8,ND,North Dakota                  ,0,2017-04-29T00:00:00.000Z,Major Disaster,ND-Dakota Access Pipeline,Other,2016-08-10T00:00:00.000Z,2017-03-31T00:00:00.000Z,Turndown,2017-05-18T00:00:00.000Z,0,0,1,1,2017042701,2016-08-10T00:00:00.000Z,c556c44f-5e82-44fb-b10a-8b84a2864f69
17077,2,NY,New York                      ,0,2017-08-31T00:00:00.000Z,Major Disaster,NY June 30 Severe Storm,Severe Storm,2017-06-30T00:00:00.000Z,,Turndown,2018-01-26T00:00:00.000Z,1,0,1,0,2017081001,2017-06-30T00:00:00.000Z,bcf3838a-d089-4a07-8514-eb06195081ef
17084,8,ND,North Dakota                  ,0,2017-08-24T00:00:00.000Z,Major Disaster,ND-Severe Storm,Severe Storm,2017-07-20T00:00:00.000Z,2017-07-20T00:00:00.000Z,Turndown,2017-11-14T00:00:00.000Z,0,0,1,1,2017080402,2017-07-20T00:00:00.000Z,f420ead1-fa62-4840-9f17-c014fb6f143b
17088,5,IL,Illinois                      ,0,2017-08-31T00:00:00.000Z,Major Disaster,RV_IL_Flooding_07142017,Flood,2017-07-11T00:00:00.000Z,2017-07-27T00:00:00.000Z,Turndown,2017-11-07T00:00:00.000Z,1,0,0,1,2017071401,2017-07-14T00:00:00.000Z,40117010-4fdc-4476-b156-eed8d072864d
17136,8,ND,North Dakota                  ,0,2017-08-07T00:00:00.000Z,Major Disaster,ND - Drought,Drought,2017-05-23T00:00:00.000Z,,Turndown,2017-10-07T00:00:00.000Z,0,0,0,1,2017101004,2017-06-22T00:00:00.000Z,6b260136-bd70-44f2-98ec-addc855959e2
17140,8,MT,Montana                       ,0,2017-11-15T00:00:00.000Z,Major Disaster,MT - historic series of wildfires,Other,2017-08-10T00:00:00.000Z,2017-09-20T00:00:00.000Z,Turndown,2018-04-26T00:00:00.000Z,0,0,1,1,2017112101,2017-08-10T00:00:00.000Z,6e1994aa-c7d1-49be-97f3-72ac652238b6
18014,5,IL,Illinois                      ,0,2018-04-11T00:00:00.000Z,Major Disaster,IL-Flooding-02202018-Region V,Flood,2018-02-18T00:00:00.000Z,2018-02-25T00:00:00.000Z,Turndown,2018-04-26T00:00:00.000Z,1,0,0,1,2018022301,2018-02-20T00:00:00.000Z,0301e38c-728b-4f13-ad3f-dce87a8511db
18031,6,LA,Louisiana                     ,0,2018-05-12T00:00:00.000Z,Major Disaster,Severe Weather and Tornados ,Severe Storm,2018-04-13T00:00:00.000Z,2018-04-14T00:00:00.000Z,Turndown,2018-07-12T00:00:00.000Z,1,0,0,1,2018050101,2018-04-06T00:00:00.000Z,e0c94ffd-0985-42f3-973b-ec773ab36fb1
18039,8,SD,South Dakota                  ,0,2018-06-14T00:00:00.000Z,Major Disaster,SD - Severe Thunderstorms & Flooding,Severe Storm,2018-05-17T00:00:00.000Z,,Turndown,2018-10-15T00:00:00.000Z,0,0,1,1,2018052501,2018-05-17T00:00:00.000Z,029180e6-c04b-4875-a1a4-2d77c1f1388a
